table_name,ingest_tag,size_tag
lkp_clr_ped_delivr_meth_base,ZC_TABLES,XS
lkp_clr_pend_action_base,ZC_TABLES,XS
lkp_clr_pend_event_type_base,ZC_TABLES,XS
lkp_clr_pharm_class_base,ZC_TABLES,XS
lkp_clr_pharm_subclass_base,ZC_TABLES,XS
lkp_clr_phone_rem_stat_base,ZC_TABLES,XS
lkp_clr_post_src_base,ZC_TABLES,XS
lkp_clr_prim_svc_ha_base,ZC_TABLES,XS
lkp_clr_priority_2_base,ZC_TABLES,XS
lkp_clr_problem_status_base,ZC_TABLES,XS
lkp_clr_proc_category_base,ZC_TABLES,XS
lkp_clr_proptry_status_base,ZC_TABLES,XS
lkp_clr_prov_type_base,ZC_TABLES,XS
lkp_clr_radiology_sts_base,ZC_TABLES,XS
lkp_clr_reaction_base,ZC_TABLES,XS
lkp_clr_record_stat_base,ZC_TABLES,XS
lkp_clr_record_type_21_base,ZC_TABLES,XS
lkp_clr_ref_source_type_base,ZC_TABLES,XS
lkp_clr_religion_base,ZC_TABLES,XS
lkp_clr_remit_code_grp_base,ZC_TABLES,XS
lkp_clr_removal_reason_base,ZC_TABLES,XS
lkp_clr_res_val_status_base,ZC_TABLES,XS
lkp_clr_review_status_base,ZC_TABLES,XS
lkp_clr_rev_type_base,ZC_TABLES,XS
lkp_clr_rev_type _base,ZC_TABLES,null
lkp_clr_rfl_class_base,ZC_TABLES,XS
lkp_clr_rfl_priority_base,ZC_TABLES,XS
lkp_clr_rfl_type_base,ZC_TABLES,XS
lkp_clr_route_base,ZC_TABLES,XS
lkp_clr_row_typ_base,ZC_TABLES,XS
lkp_clr_rsh_pref_base,ZC_TABLES,null
lkp_clr_rxnorm_code_level_base,ZC_TABLES,XS
lkp_clr_rxnorm_term_type_base,ZC_TABLES,XS
lkp_clr_sensitiv_stat_base,ZC_TABLES,XS
lkp_clr_ser_rpt_grp_10_base,ZC_TABLES,XS
lkp_clr_ser_rpt_grp_12_base,ZC_TABLES,XS
lkp_clr_ser_rpt_grp_13_base,ZC_TABLES,XS
lkp_clr_ser_rpt_grp_7_base,ZC_TABLES,XS
lkp_clr_severity_base,ZC_TABLES,XS
lkp_clr_sex_base,ZC_TABLES,XS
lkp_clr_sexually_active_base,ZC_TABLES,XS
lkp_clr_sex_asgn_at_birth_base,ZC_TABLES,XS
lkp_clr_simple_generic_base,ZC_TABLES,XS
lkp_clr_site_base,ZC_TABLES,XS
lkp_clr_smokeless_tob_u_base,ZC_TABLES,XS
lkp_clr_smoking_tob_use_base,ZC_TABLES,XS
lkp_clr_soi_rom_base,ZC_TABLES,XS
lkp_clr_specialty_base,ZC_TABLES,XS
lkp_clr_specimen_source_base,ZC_TABLES,XS
lkp_clr_specimen_type_base,ZC_TABLES,XS
lkp_clr_spec_test_pri_base,ZC_TABLES,XS
lkp_clr_staff_resource_base,ZC_TABLES,XS
lkp_clr_state_base,ZC_TABLES,XS
lkp_clr_static_udi_type_base,ZC_TABLES,XS
lkp_clr_stat_abnorms_base,ZC_TABLES,XS
lkp_clr_stopbill_rsn_ha_base,ZC_TABLES,XS
lkp_clr_suffix_base,ZC_TABLES,XS
lkp_clr_table_type_base,ZC_TABLES,XS
lkp_clr_thera_class_base,ZC_TABLES,XS
lkp_clr_title_base,ZC_TABLES,XS
lkp_clr_tobacco_user_base,ZC_TABLES,XS
lkp_clr_tx_billing_base,ZC_TABLES,XS
lkp_clr_tx_class_base,ZC_TABLES,XS
lkp_clr_tx_epsd_type_base,ZC_TABLES,XS
lkp_clr_tx_source_ha_base,ZC_TABLES,XS
lkp_clr_tx_stat_out_base,ZC_TABLES,XS
lkp_clr_tx_type_ha_base,ZC_TABLES,XS
lkp_clr_type_case_base,ZC_TABLES,XS
lkp_clr_val_type_base,ZC_TABLES,XS
lkp_clr_yes_no_base,ZC_TABLES,XS
cl_bev_event_all_base,null,null





















